Account,Date,Company,Debit,Credit,Amount,Sub-category,Category,Category Type
Credit,2023-02-07 00:00:00,Company A,,2583,2583,Salary,Income,Income
Savings,2023-08-21 00:00:00,Company C,211,,-211,Entertainment,Entertainment,Expense
Checking,2023-07-14 00:00:00,Company B,,2713,2713,Salary,Income,Income
Checking,2023-05-15 00:00:00,Company D,964,,-964,Groceries,Food,Expense
Savings,2023-01-21 00:00:00,Company B,146,,-146,Entertainment,Entertainment,Expense
Savings,2023-03-19 00:00:00,Company A,759,,-759,Transport,Travel,Expense
Checking,2023-08-12 00:00:00,Company B,537,,-537,Entertainment,Entertainment,Expense
Checking,2023-10-21 00:00:00,Company C,453,,-453,Transport,Travel,Expense
Checking,2023-02-20 00:00:00,Company D,,4076,4076,Salary,Income,Income
Credit,2023-06-27 00:00:00,Company A,48,,-48,Entertainment,Entertainment,Expense
Checking,2023-02-08 00:00:00,Company A,214,,-214,Utilities,Bills,Expense
Savings,2023-12-10 00:00:00,Company B,72,,-72,Utilities,Bills,Expense
Savings,2023-05-04 00:00:00,Company C,181,,-181,Utilities,Bills,Expense
Checking,2023-03-29 00:00:00,Company D,358,,-358,Transport,Travel,Expense
Credit,2023-07-30 00:00:00,Company D,587,,-587,Groceries,Food,Expense
Credit,2023-10-29 00:00:00,Company D,930,,-930,Utilities,Bills,Expense
Savings,2023-06-21 00:00:00,Company D,71,,-71,Transport,Travel,Expense
Credit,2023-03-14 00:00:00,Company D,331,,-331,Groceries,Food,Expense
Credit,2023-05-16 00:00:00,Company D,659,,-659,Utilities,Bills,Expense
Credit,2023-03-11 00:00:00,Company D,971,,-971,Groceries,Food,Expense
Checking,2023-09-05 00:00:00,Company A,704,,-704,Groceries,Food,Expense
Checking,2023-03-06 00:00:00,Company C,18,,-18,Entertainment,Entertainment,Expense
Credit,2023-02-09 00:00:00,Company C,245,,-245,Rent,Living Expenses,Expense
Checking,2023-08-11 00:00:00,Company A,514,,-514,Transport,Travel,Expense
Checking,2023-12-26 00:00:00,Company A,274,,-274,Groceries,Food,Expense
Checking,2023-09-23 00:00:00,Company B,502,,-502,Transport,Travel,Expense
Checking,2023-01-05 00:00:00,Company C,761,,-761,Rent,Living Expenses,Expense
Savings,2023-10-23 00:00:00,Company D,271,,-271,Utilities,Bills,Expense
Savings,2023-08-08 00:00:00,Company B,376,,-376,Groceries,Food,Expense
Checking,2023-04-02 00:00:00,Company C,721,,-721,Rent,Living Expenses,Expense
Credit,2023-05-15 00:00:00,Company C,,3478,3478,Salary,Income,Income
Checking,2023-10-22 00:00:00,Company C,651,,-651,Groceries,Food,Expense
Credit,2023-07-08 00:00:00,Company B,906,,-906,Rent,Living Expenses,Expense
Checking,2023-12-29 00:00:00,Company A,,3221,3221,Salary,Income,Income
Savings,2023-11-23 00:00:00,Company C,,4747,4747,Salary,Income,Income
Credit,2023-09-02 00:00:00,Company A,,1980,1980,Salary,Income,Income
Checking,2023-12-08 00:00:00,Company C,514,,-514,Coffee,Dining Out,Expense
Savings,2023-09-16 00:00:00,Company C,474,,-474,Groceries,Food,Expense
Credit,2023-08-05 00:00:00,Company A,700,,-700,Transport,Travel,Expense
Checking,2023-02-04 00:00:00,Company D,55,,-55,Coffee,Dining Out,Expense
Savings,2023-03-10 00:00:00,Company B,642,,-642,Coffee,Dining Out,Expense
Savings,2023-07-09 00:00:00,Company A,,1479,1479,Salary,Income,Income
Savings,2023-03-16 00:00:00,Company C,623,,-623,Transport,Travel,Expense
Savings,2023-03-05 00:00:00,Company D,,2360,2360,Salary,Income,Income
Savings,2023-12-04 00:00:00,Company B,612,,-612,Coffee,Dining Out,Expense
Credit,2023-09-14 00:00:00,Company B,,3222,3222,Salary,Income,Income
Checking,2023-05-15 00:00:00,Company C,739,,-739,Utilities,Bills,Expense
Savings,2023-08-30 00:00:00,Company A,,1989,1989,Salary,Income,Income
Savings,2023-05-20 00:00:00,Company C,274,,-274,Coffee,Dining Out,Expense
Checking,2023-02-08 00:00:00,Company B,899,,-899,Groceries,Food,Expense
Savings,2023-11-13 00:00:00,Company D,60,,-60,Rent,Living Expenses,Expense
